"Auction";"From";"To";"Car";"Motorcycle"
;"LAS VEGAS - Nevada - Copart";"Los Angeles";$300.00;$250.00
;"LEXINGTON EAST - Kentucky - Copart";"Chicago";$375.00;$275.00
;"LEXINGTON WEST - Kentucky - Copart";"Chicago";$375.00;$275.00
;"LINCOLN - Nebraska - Copart";"Chicago";$400.00;$300.00
;"LITTLE ROCK - Arkansas - Copart";"Houston";$400.00;
;"LONG BEACH - California - Copart";"Los Angeles";$100.00;$100.00
;"LONG ISLAND - New York - Copart";"New York";$225.00;$175.00
;"LONGVIEW - Texas - Copart";"Houston";$250.00;
;"LOS ANGELES - California - Copart";"Los Angeles";$100.00;$100.00
;"LOUISVILLE - Kentucky - Copart";"Chicago";$375.00;$275.00
;"LUFKIN - Texas - Copart";"Houston";$250.00;
;"LYMAN - Maine - Copart";"New York";$450.00;$350.00
;"MADISON - Wisconsin - Copart";"Chicago";$250.00;$250.00
;"MARTINEZ - California - Copart";"Los Angeles";$375.00;$250.00
;"MCALLEN - Texas - Copart";"Houston";$350.00;
;"MEBANE - North Carolina - Copart";"Norfolk";$275.00;$225.00
;"MEMPHIS - Tennessee - Copart";"Savannah";$375.00;$300.00
;"MIAMI CENTRAL - Florida - Copart";"Miami";$100.00;$100.00
;"MIAMI NORTH - Florida - Copart";"Miami";$100.00;$100.00
;"MIAMI SOUTH - Florida - Copart";"Miami";$125.00;$125.00
;"MILWAUKEE - Wisconsin - Copart";"Chicago";$175.00;$175.00
;"MINNEAPOLIS - Minnesota - Copart";"Chicago";$400.00;$350.00
;"MINNEAPOLIS NORTH - Minnesota - Copart";"Chicago";$400.00;$350.00
;"MO - COLUMBIA - Missouri - Copart";"Chicago";$350.00;$300.00
;"MOBILE - Alabama - Copart";"Savannah";$350.00;$275.00
;"MONTGOMERY - Alabama - Copart";"Savannah";$350.00;$275.00
;"NASHVILLE - Tennessee - Copart";"Savannah";$350.00;
;"NEW ORLEANS - Louisiana - Copart";"Houston";$375.00;
;"NEWBURGH - New York - Copart";"New York";$250.00;
;"NORTH BOSTON - Massachusetts - Copart";"New York";$350.00;$275.00
;"NORTH SEATTLE- Washington - Copart";"Seattle";$150.00;
;"OCALA - Florida - Copart";"Miami";$275.00;$250.00
;"OGDEN - Utah - Copart";"Los Angeles";$550.00;$500.00
;"OKLAHOMA CITY - Oklahoma - Copart";"Houston";$400.00;
;"ORLANDO - Florida - Copart";"Miami";$200.00;$200.00
;"ORLANDO NORTH - Florida - Copart";"Miami";$225.00;$225.00
;"PASCO - Washington - Copart";"Seattle";$250.00;
;"PEORIA - Illinois - Copart";"Chicago";$250.00;$250.00
;"PHILADELPHIA - Pennsylvania - Copart";"New York";$250.00;$175.00
;"PHILADELPHIAEAST- Pennsylvania - Copart";"New York";$250.00;$175.00
;"PHOENIX - Arizona - Copart";"Los Angeles";$300.00;$200.00
;"PITTSBURGH EAST - Pennsylvania - Copart";"New York";$450.00;$350.00
;"PITTSBURGH NORTH - Pennsylvania - Copart";"New York";$450.00;$350.00
;"PITTSBURGH SOUTH - Pennsylvania - Copart";"New York";$450.00;$350.00
;"PORTLAND NORTH - Oregon - Copart";"Seattle";$200.00;
;"PORTLAND SOUTH - Oregon - Copart";"Seattle";$250.00;
;"PUNTA GORDA - Florida - Copart";"Miami";$200.00;
;"RALEIGH - North Carolina - Copart";"Norfolk";$275.00;$225.00
;"RANCHO CUCAMONGA - California - Copart";"Los Angeles";$150.00;$150.00
;"RENO - Nevada - Copart";"Los Angeles";$450.00;$400.00
;"RICHMOND - Virginia - Copart";"Norfolk";$175.00;$175.00
;"ROCHESTER - New York - Copart";"New York";$450.00;
;"SACRAMENTO - California - Copart";"Los Angeles";$375.00;$250.00
;"SALT LAKE CITY - Utah - Copart";"Los Angeles";$550.00;$500.00
;"SAN ANTONIO - Texas - Copart";"Houston";$275.00;
;"SAN BERNARDINO - California - Copart";"Los Angeles";$150.00;$150.00
;"SAN DIEGO -California-Copart";"Los Angeles";$175.00;$150.00
;"SAN JOSE - California - Copart";"Los Angeles";$375.00;$250.00
;"SAVANNAH - Georgia - Copart";"Savannah";$100.00;$100.00
;"SC - COLUMBIA - South Carolina - Copart";"Savannah";$275.00;$200.00
;"SCRANTON - Pennsylvania - Copart";"New York";$250.00;$200.00
;"SEAFORD - Delaware - Copart";"Norfolk";$300.00;
;"SHREVEPORT - Louisiana - Copart";"Houston";$290.00;
;"SIKESTON - Missouri - Copart";"Chicago";$425.00;$325.00
;"SO SACRAMENTO - California - Copart";"Los Angeles";$375.00;$250.00
;"SOMERVILLE - New Jersey - Copart";"New York";$150.00;$100.00
;"SOUTH BOSTON - Massachusetts - Copart";"New York";$350.00;$275.00
;"SPARTANBURG - South Carolina - Copart";"Savannah";$275.00;$200.00
;"SPOKANE - Washington - Copart";"Seattle";$350.00;
;"SPRINGFIELD - Missouri - Copart";"Chicago";$375.00;$275.00
;"ST. CLOUD - Minnesota - Copart";"Chicago";$350.00;$300.00
;"ST. LOUIS - Missouri - Copart";"Chicago";$250.00;$200.00
;"SUN VALLEY - California - Copart";"Los Angeles";$150.00;$150.00
;"SYRACUSE - New York - Copart";"New York";$350.00;$275.00
;"Southern Illinois - Illinois - Copart";"Chicago";$250.00;$250.00
;"TALLAHASSEE - Florida - Copart";"Savannah";$275.00;$225.00
;"TAMPA SOUTH - Florida - Copart";"Miami";$200.00;$200.00
;"TANNER - Alabama - Copart";"Savannah";$400.00;$275.00
;"TIFTON - Georgia - Copart";"Savannah";$250.00;$175.00
;"TRENTON - New Jersey - Copart";"New York";$150.00;$100.00
;"TUCSON - Arizona - Copart";"Los Angeles";$350.00;$300.00
;"TULSA - Oklahoma - Copart";"Houston";$450.00;
;"VALLEJO - California - Copart";"Los Angeles";$375.00;$250.00
;"VAN NUYS - California - Copart";"Los Angeles";$150.00;$150.00
;"WACO - Texas - Copart";"Houston";$300.00;
;"WALTON - Kentucky - Copart";"Chicago";$375.00;$275.00
;"WASHINGTON DC - Maryland - Copart";"Norfolk";$275.00;$225.00
;"WEBSTER - New Hampshire - Copart";"New York";$400.00;
;"WEST PALM BEACH - Florida - Copart";"Miami";$160.00;$160.00
;"WEST WARREN - Massachusetts - Copart";"New York";$350.00;$275.00
;"WHEELING - Illinois - Copart";"Chicago";$100.00;$100.00
;"WICHITA - Kansas - Copart";"Houston";$550.00;
